id,CompanyName,address,phone,representative,email,description,sector,ProductAndService,Market,Masothue,Year,Scale,Capacity,Price,formatted_address,latitude,longitude,place_id
company_1,Công Ty TNHH MTV Minh Tâm Phát,"261 KP. 3, QL. 1A, TT. Bến Lức, H. Bến Lức, Long An",0913 958 373,Mr. Phạm Hoàng Phát,minhtamphat@gmail.com,Công Ty TNHH MTV Minh Tâm Phát thành lập và hoạt động từ năm 2004 chuyên: + Xay xát các loại gạo đặc sản và thông dụng + Cung cấp gạo cho bếp ăn công nghiệp - trường học Sản phẩm được sản xuất đạt chuẩn An Toàn Vệ Sinh Thực Phẩm bộ NN&PTNT Long An cấp.,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,"Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Gạo - Công Ty Và Đại Lý Gạo;Nhà sản xuất, Công ty Thương mại;Toàn quốc",Toàn quốc,1100523365,2004,Từ 11  - 50 người,121.03190457039808,1849.0338149102167,"3 QL1A, TT. Bến Lức, Bến Lức, Long An, Việt Nam",10.6381923,106.4782859,ChIJuf7OLWXMCjERcZpjTG4k9d0
company_2,Công Ty Cổ Phần Sản Xuất Thương Mại Lúa Vàng Việt,"785-787 Cách Mạng Tháng tám, Khu Phố 2, Phường 3, Thành Phố Tây Ninh, Tây Ninh",0945402710,Mr. Đào Duy Băng Thanh,thanhdao@ducthanhco.vn,"Công Ty Lúa Vàng Việt là đơn vị sản xuất và cung ứng các loại gạo trắng thương phẩm, gạo lứt thô,.. Ngoài ra còn có các phụ phẩm gạo khác như tấm, cám và vỏ trấu. Với quy mô nhà máy lớn nhất Tây Ninh được thành lập vào năm 2018, chúng tôi mong muốn cùng các nhà phân phối đẩy mạnh hệ thống phân phối đến khắp các tỉnh miền Nam và cả nước, bên cạnh đó là xuất khẩu ra nước ngoài. Với sứ mệnh sánh vai và nâng cao sinh kế nhà nông, chúng tôi mang đến các sản phẩm gạo chất lượng cao, hợp khẩu vị và an toàn cho sức khỏe người tiêu dùng. Rất hân hạnh được hợp tác!",Gạo - Công Ty Và Đại Lý Gạo,"Gạo - Công Ty Và Đại Lý Gạo;Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Sản xuất;Toàn quốc, Quốc tế;HACCP, VSATTP","HACCP, VSATTP",3901259282,2018,Từ 51  - 100 người,86.60907875135098,2195.5709415292504,"785 Cách Mạng Tháng Tám, Hiệp Ninh, Tây Ninh, Việt Nam",11.308933,106.1141946,ChIJGXPpnFNqCzERwiHs1hwPApw
company_3,Công Ty TNHH Chế Biến Nông Sản Song Long,"Thôn 3, Bắc Ruộng, Tánh Linh, Bình Thuận",0971 173 168,Nguyễn Thị La Ngà,langariver@gmail.com,Công Ty TNHH Chế Biến Nông Sản Song Long chuyên dịch vụ xay sát nông sản.,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,"Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Công ty Dịch vụ;Toàn quốc, Quốc tế","Toàn quốc, Quốc tế",2017,Công Ty TNHH Chế Biến Nông Sản Song Long,Công ty Dịch vụ,63.28151376920002,679.3416854897065,"thôn 3, Tánh Linh, Bình Thuận, Việt Nam",10.9190075,107.6737449,ChIJaTn9vhw2dDEREnnE9GeBVOA
company_4,Công ty TNHH Ngọc Ngọc Hà,"Số 15, Tổ 1, Ấp An Long, Xã An Thạnh Trung, Huyện Chợ Mới, An Giang",0972 272 244,Mr. Ngô Văn Nhanh,beriphong@Gmail.com,"Công ty chúng tôi chuyên sản xuất, xay xát lúa gạo.",Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Sản xuất;Toàn quốc,Toàn quốc,1601979776,2017,Từ 11  - 50 người,146.37743877810493,1429.721760880253,"An Thạnh Trung, Tp. Long Xuyên, An Giang, Việt Nam",10.427419,105.488828,ChIJHZfm2O5tCjERxQMVEViFEac
company_5,Công Ty Cổ Phần Hoàng Minh Nhật,"Số 18/2, Đường tỉnh lộ 922, ấp Thới Khánh A, xã Tân Thạnh, H. Thới Lai, TP. Cần Thơ",No phone,Hotline,hmn@hmnfoodco.com,"Công Ty CP Hoàng Minh Nhật đến nay đã có hơn 10 năm kinh nghiệm trong ngành sản xuất và chế biến gạo xuất khẩu với hệ thống dây chuyển công nghệ máy móc hiện đại cùng đội ngũ cán bộ, công nhân viên dày dặn kinh nghiệm.Ngành nghề kinh doanh:- Gieo trồng, sản xuất, xay xát, và chế biến lúa gạo xuất khẩu- Kinh doanh lúa gạo- Cung cấp nguyên liệu chế biến thức ăn gia súc từ phụ phẩm lúa gạo (cám, tấm, ..)- Vận tải hàng hóa thủy nội địa và đường bộCác sản phẩm của chúng tôi đã và đang có mặt tại các thị trường quốc tế như Đông Nam á, Trung Đông, khu vực Châu á, Châu Phu và các nước Châu Mỹ,..Sản phẩm chính: - Gạo trắng hạt dài các loại 5%, 10%, 15%, 20%, 25%, 100% tấm- Các loại gạo trắng cho đặc tính mềm cơm, dẻo, thơm.",Xay Xát - Nhà Máy Xay Xát Lúa Gạo,"Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Gạo - Công Ty Và Đại Lý Gạo;Thức Ăn Chăn Nuôi - Nguyên Liệu Sản Xuất Thức Ăn Chăn Nuôi;Nhà sản xuất, Công ty Xuất Khẩu;Toàn quốc, Quốc tế;HACCP",HACCP,HACCP,Công Ty Cổ Phần Hoàng Minh Nhật,"Nhà sản xuất, Công ty Xuất Khẩu",61.60375261272127,2296.384705716507,"2 ĐT922, Định Môn, Thới Lai, Cần Thơ, Việt Nam",10.0883762,105.5907899,ChIJvQBCrsuaoDERycYt6NvSI0I
company_6,Cơ Sở Vĩnh Hiệp,"59 Tạ Uyên, P. 15, Q. 5, TP. Hồ Chí Minh (TPHCM)",No phone,No representative,No email,No description,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,No tax code,No year,No scale,181.69283528869693,2358.196164101422,"59 Tạ Uyên, Phường 15, Quận 5, Hồ Chí Minh, Việt Nam",10.7550691,106.6536818,ChIJge83OPMudTERR8WVnSIlStU
company_7,Doanh Nghiệp Tư Nhân Ba Xê,"781 ấp 6B, X. Tân Hoà Châu Thành A, Hậu Giang",No phone,Mr. Lý Phước Lộc,locb1705759@student.ctu.edu.vn,Doanh Nghiệp Tư Nhân Ba Xê  chuyên xay xát gia công sấy lúa với 19 năm hoạt động trong lĩnh vực sấy lúa và xay xát . Đảm bảo chất lượng uy tín hàng đầu.,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Miền Nam,Miền Nam,2002,Từ 11  - 50 người,Doanh Nghiệp Tư Nhân Ba Xê,85.76194016544538,2324.5448941080367,"Tân Hòa, Châu Thành A, Hậu Giang, Việt Nam",9.9161699,105.6119301,ChIJBXdcKWiNoDERusEZJn4JWzA
company_8,Nhà Máy Xay Xát Lúa Gạo Sáng,"Tổ 1, Ấp Tây, X. Long phước, TP. Bà Rịa, Bà Rịa-Vũng Tàu",No phone,No representative,No email,No description,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,No tax code,No year,No scale,72.12512515578939,934.5659432600614,"Long Phước, Bà Rịa, Bà Rịa - Vũng Tàu, Việt Nam",10.5373107,107.2252675,ChIJOZGblxELdTERCm4GgLZMHC8
company_10,Công Ty TNHH MTV Thương Mại Xuất Nhập Khẩu Tân Phát,"ấp Bình Hiệp B, X. Bình Thạnh Trung, H. Lấp Vò, Đồng Tháp",0918 584 395,Ông Trương Xịa Tiến,truongxiatien@gmail.com,"Công ty Tân Phát được thành lập vào năm 2011, tiền thân là DNTN Tân Phát được thành lập từ năm 1998. Công ty có nhà máy tại Đồng Tháp và An Giang, là thành viên của Hiệp Hội Lương Thực Việt Nam. Tận dụng nguồn vỏ trấu từ nhà máy xay xát, Công ty đầu tư hệ thống ép viên trấu với công suất hiện tại là 8.000 tấn/tháng và đến cuối năm 2014 sẽ tăng sản lượng lên 12.000 tấn/tháng. Đây chính là nguyên liệu dùng đốt lò hơi, thay thế cho than đá, dầu FO.. giúp tiết kiệm 40% chi phí và bảo vệ môi trường, được Cục Kiểm dịch Thực vật cấp Chứng nhận Xử lý nhiệt 150 độ trong 10 phút, đủ tiêu chuẩn xuất khẩu sang thị trường Hàn Quốc, Nhật Bản và Châu Âu.","Củi Trấu, Viên Nén Gỗ, Dăm Gỗ, Mùn Cưa","Củi Trấu, Viên Nén Gỗ, Dăm Gỗ, Mùn Cưa;Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Nông Sản;Nhà sản xuất;Miền Nam, Quốc tế;HACCP",HACCP,1401349015,2011,Từ 11  - 50 người,147.14386961180725,1004.7598300381284,"Đường Nguyễn Thái Bình, Bình Thạnh Trung, Lấp Vò, Đồng Tháp, Việt Nam",10.3697207,105.5251467,ChIJc5uxwApxCjER1c6ZzNmfKVw
company_11,Doanh Nghiệp Tư Nhân Nguyễn Khả,"ấp Vĩnh Lợi 1, X. Châu Phong, H. Tân Châu, An Giang",No phone,No representative,No email,No description,Xay Xát - Nhà Máy Xay Xát Lúa Gạo,Xay Xát - Nhà Máy Xay Xát Lúa Gạo;Gạo - Công Ty Và Đại Lý Gạo,Gạo - Công Ty Và Đại Lý Gạo,No tax code,No year,No scale,156.4206756825469,532.3168579192869,"Ấp Vĩnh Lợi, Vĩnh Lộc, An Phú, An Giang, Việt Nam",10.8264101,105.0894028,ChIJj_LB2fwoCjER3nKQTuWkey0
